adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/tQSoGeA53RsRvqtjOH7RjkjaHwI.jpg,"[18, 53, 80]",1422,en,The Departed,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",45.733,/nT97ifVT2J1yMQmeq20Qblg61T.jpg,2006-10-04,The Departed,False,8.168,14186
False,/mxf8hJJkHTCqZP3m4o8E1TtwHHs.jpg,"[35, 10749]",872,en,Singin' in the Rain,"In 1927 Hollywood, a silent film production company and cast make a difficult transition to sound.",41.08,/w03EiJVHP8Un77boQeE7hg9DVdU.jpg,1952-04-09,Singin' in the Rain,False,8.167,2944
False,/wOfzdzC0QZyhUIlyjeMuUYSb8Ax.jpg,"[18, 10749]",289,en,Casablanca,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.",27.282,/5K7cOHoay2mZusSLezBOY0Qxh8a.jpg,1943-01-15,Casablanca,False,8.2,5107
False,/cCvp5Sni75agCtyJkNOMapORUQV.jpg,"[28, 80, 18]",111,en,Scarface,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",70.233,/iQ5ztdjvteGeboxtmRdXEChJOHh.jpg,1983-12-09,Scarface,False,8.168,11141
False,/6yrbWzzrPp7pwz6zHdifspJk8t3.jpg,"[878, 18]",1398,ru,Сталкер,"Near a gray and unnamed city is the Zone, a place guarded by barbed wire and soldiers, and where the normal laws of physics are victim to frequent anomalies. A stalker guides two men into the Zone, specifically to an area in which deep-seated desires are granted.",29.96,/rem87AyEochEuhn9VvAGoMQpigz.jpg,1979-05-25,Stalker,False,8.166,1968
False,/1p6cMqrxwLjTHmruMCWfpbTAxvt.jpg,[18],517814,ar,کفرناحوم,"Zain, a 12-year-old boy scrambling to survive on the streets of Beirut, sues his parents for having brought him into such an unjust world, where being a refugee with no documents means that your rights can easily be denied.",25.116,/mFnfTVADj8yOxwzprYOmTPselk8.jpg,2018-09-20,Capernaum,False,8.164,1588
False,/7oJ5wrbS9Zs9AoxTjNb1siJKVq6.jpg,"[80, 53, 18]",475557,en,Joker,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",102.932,/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,2019-10-01,Joker,False,8.164,24106
False,/fcH7FM74GoHgOUnKjpGAoKOxWvY.jpg,"[18, 35, 10752]",55823,it,La grande guerra,"Italy, 1916. Oreste Jacovacci and Giovanni Busacca are called, as all the Italian youths, to serve the army in the WWI. They both try in every way to avoid serving the army.",7.755,/aDvKsUb5y7GMNMz2HHNtuGww5t8.jpg,1959-10-28,The Great War,False,8.2,326
False,/2Jr2OBzoLLOYqQWnyN4eicZv0sL.jpg,"[12, 10751]",606856,en,Togo,"The untold true story set in the winter of 1925 that takes you across the treacherous terrain of the Alaskan tundra for an exhilarating and uplifting adventure that will test the strength, courage and determination of one man, Leonhard Seppala, and his lead sled dog, Togo.",34.745,/921q4gPNN4J6UxvKaw6SCNBe3F8.jpg,2019-12-20,Togo,False,8.163,1903
False,/foFq1RZWQIgFuCQ0nyYccywjFyX.jpg,"[18, 10749]",531428,fr,Portrait de la jeune fille en feu,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",37.406,/2LquGwEhbg3soxSCs9VNyh5VJd9.jpg,2019-09-18,Portrait of a Lady on Fire,False,8.155,2328
False,/zvOJawrnmgK0sL293mOXOdLvTXQ.jpg,"[10749, 18]",398818,en,Call Me by Your Name,"In 1980s Italy, a relationship begins between seventeen-year-old teenage Elio and the older adult man hired as his father's research assistant.",54.776,/mZ4gBdfkhP9tvLH1DO4m4HYtiyi.jpg,2017-09-01,Call Me by Your Name,False,8.155,11596
False,/4GWYk5VP9qu1rNSeNAwNaBy9mwS.jpg,"[10751, 16]",399106,en,Piper,"A mother bird tries to teach her little one how to find food by herself. In the process, she encounters a traumatic experience that she must overcome in order to survive.",14.392,/rfEkkVzmrMYqGezNLl02mVyJCP2.jpg,2016-06-16,Piper,False,8.154,1559
False,/6aoyUbvu0419XLKLIMoH0TkEicH.jpg,"[80, 18]",103,en,Taxi Driver,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,48.987,/ekstpH614fwDX8DUln1a2Opz0N8.jpg,1976-02-09,Taxi Driver,False,8.153,11514
False,/bpV8wn48s82au37QyUJ51S7X2Vf.jpg,[18],489,en,Good Will Hunting,"When professors discover that an aimless janitor is also a math genius, a therapist helps the young man confront the demons that are holding him back.",73.504,/bABCBKYBK7A5G1x0FzoeoNfuj2.jpg,1997-12-05,Good Will Hunting,False,8.152,11574
False,/bblKpucB0XbyQBmfXsaRN985Rgh.jpg,[18],458220,en,Palmer,"After 12 years in prison, former high school football star Eddie Palmer returns home to put his life back together—and forms an unlikely bond with Sam, an outcast boy from a troubled home. But Eddie's past threatens to ruin his new life and family.",30.587,/xSDdRAjxKAGi8fUBLOqSrBhJmF0.jpg,2021-01-28,Palmer,False,8.15,1419
False,/lrLIy9OFRQg4VkhrCyolfNXJEUH.jpg,[18],666,pt,Central do Brasil,"An emotive journey of a former school teacher, who writes letters for illiterate people, and a young boy, whose mother has just died, as they search for the father he never knew.",16.111,/zJvp7XjQ2LhPbDVYhFXyucs40vR.jpg,1998-11-20,Central Station,False,8.15,815
False,/hdHIjZxq3SWFqpAz4NFhdbud0iz.jpg,"[27, 878]",348,en,Alien,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",107.349,/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg,1979-05-25,Alien,False,8.1,13647
False,/e5MvOQIIouSgQcBHCMNA6Rsbwnd.jpg,[18],81481,ko,도가니,"Based on actual events that took place at Gwangju Inhwa School for the hearing-impaired, where young deaf students were the victims of repeated sexual assaults by faculty members over a period of five years in the early 2000s.",22.623,/mbMp0oIFmYnw0i5gzRoKt8cH5ve.jpg,2011-09-22,Silenced,False,8.147,555
False,/iQlJyRecJeGGzQGT2rEcyAgz89F.jpg,"[10749, 18]",762975,en,Purple Hearts,"An aspiring musician agrees to a marriage of convenience with a soon-to-deploy Marine, but a tragedy soon turns their fake relationship all too real.",43.141,/4JyNWkryifWbWXJyxcWh3pVya6N.jpg,2022-07-29,Purple Hearts,False,8.146,2273
False,/175gL8LrNt9QfKwLzWn179AYvo.jpg,[18],20532,ja,山椒大夫,"In medieval Japan, a woman and his children journey to find the family's patriarch, who was exiled years before.",10.283,/ffMCNNYiTCdkhMQoNSX17urqWiz.jpg,1954-03-31,Sansho the Bailiff,False,8.1,341
False,/r8pUcom5Mw8igtBpj3AHSAUvH0R.jpg,"[18, 878]",19,de,Metropolis,"In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.",18.282,/pxbGZewX327IbTvrCVRJgcLJTSQ.jpg,1927-02-06,Metropolis,False,8.144,2535
False,/4rsrxYDfIzvtAsIE9wevxPRXAk4.jpg,"[18, 10751]",406997,en,Wonder,"The story of August Pullman – a boy with facial differences – who enters fifth grade, attending a mainstream elementary school for the first time.",35.718,/sONh3LYGFcVDTy8pm1tbSOB13Li.jpg,2017-11-13,Wonder,False,8.1,7583
False,/kH8xW7K2Gp1KOXoeewcLPkfqZ8K.jpg,"[80, 18]",470044,en,The Hate U Give,"Raised in a poverty-stricken slum, a 16-year-old girl named Starr now attends a suburban prep school. After she witnesses a police officer shoot her unarmed best friend, she's torn between her two very different worlds as she tries to speak her truth.",21.637,/2icwBom0t5nmOuZI9FVXF3gkMK0.jpg,2018-10-19,The Hate U Give,False,8.142,2035
False,/h3weAFgg06GqchI2xDfufBgSFTj.jpg,[18],600354,en,The Father,"A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",28.979,/uxWXW1YYQENSv7OzHB4Hds0bK3b.jpg,2020-12-23,The Father,False,8.141,2931
False,/bg4B52loVIYZTf3odGQKVV6B55h.jpg,[35],20914,it,Amici miei,"Four middle-aged friends in Florence organize together idle pranks (called zingarate, ""gypsy shenanigans"") in a continuous attempt to prolong childhood during their adult life.",8.586,/8Pm8SLjq2UHCwisd56ipHtzvZI1.jpg,1975-10-24,My Friends,False,8.141,663
False,/rQaHA74pevnGsxcKGaoZVGWe9TC.jpg,"[16, 10751, 35, 14]",508442,en,Soul,"Joe Gardner is a middle school teacher with a love for jazz music. After a successful audition at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth.",101.494,/hm58Jw4Lw8OIeECIq5qyPYhAeRJ.jpg,2020-12-25,Soul,False,8.139,9862
False,/aCHn2TXYJfzPXQKA6r9mKPbMlUB.jpg,"[35, 18]",37165,en,The Truman Show,"Truman Burbank is the star of The Truman Show, a 24-hour-a-day reality TV show that broadcasts every aspect of his life without his knowledge. His entire life has been an unending soap opera for consumption by the rest of the world. And everyone he knows, including his wife and his best friend, is really an actor, paid to be part of his life.",64.624,/vuza0WqY239yBXOadKlGwJsZJFE.jpg,1998-06-04,The Truman Show,False,8.139,17385
False,/3k2TRmqMjgt7tcwkYwZQdctnty3.jpg,"[18, 10752]",600,en,Full Metal Jacket,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,38.728,/kMKyx1k8hWWscYFnPbnxxN4Eqo4.jpg,1987-06-26,Full Metal Jacket,False,8.135,9944
False,/adlZgxAudw3ZPA0HUcDzSTKrH8B.jpg,"[16, 10770, 14, 28]",755812,fr,"Miraculous World : New York, les héros unis","Marinette’s class is headed to New York, the city of superheroes, for French-American Friendship Week. The whole class is there...except Adrien, whose father refuses to let him go!",34.948,/9YbyvcrHmY2SVbdfXpb8mC4Fy0g.jpg,2020-09-25,"Miraculous World: New York, United HeroeZ",False,8.1,1049
False,/jqFjgNnxpXIXWuPsyfqmcLXRo9p.jpg,"[80, 53]",500,en,Reservoir Dogs,"A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.",46.918,/xi8Iu6qyTfyZVDVy60raIOYJJmk.jpg,1992-09-02,Reservoir Dogs,False,8.129,13660
False,/e782pDRAlu4BG0ahd777n8zfPzZ.jpg,"[16, 14, 18, 10751]",555604,en,Guillermo del Toro's Pinocchio,"During the rise of fascism in Mussolini's Italy, a wooden boy brought magically to life struggles to live up to his father's expectations.",55.815,/vx1u0uwxdlhV2MUzj4VlcMB0N6m.jpg,2022-10-22,Guillermo del Toro's Pinocchio,False,8.128,2666
False,/BBVAUchYvkmPThVIqipgAfabfl.jpg,[18],614,sv,Smultronstället,"Crotchety retired doctor Isak Borg travels from Stockholm to Lund, Sweden, with his pregnant and unhappy daughter-in-law, Marianne, in order to receive an honorary degree from his alma mater. Along the way, they encounter a series of hitchhikers, each of whom causes the elderly doctor to muse upon the pleasures and failures of his own life. These include the vivacious young Sara, a dead ringer for the doctor's own first love.",17.135,/iyTD2QnySNMPUPE3IedZQipSWfz.jpg,1957-12-26,Wild Strawberries,False,8.128,1522
